Position,UniqId,Block,Trt,ML,Species,Combos,Of_exp,TotalProjStr,AreaConvexHull,MaxWidth,rootangle_right,rootangle_left,AvAng
310,310R,2,Inter,Ip-4.12,P,Ihed-4.7-Ip-4.12,O,418.9920349,89.222229,8.831929207,71.59999847,89.09999847,9.65000153
312,312L,2,Inter,Ip-4.13,P,Ihed-4.12-Ip-4.13,O,453.9410095,108.4768982,9.634831429,53,92.59999847,37
312,312R,2,Inter,Ihed-4.12,H,Ihed-4.12-Ip-4.13,O,286.1884766,95.90228271,9.225187302,114.5,59.09999847,30.90000153
313,313L,2,Inter,Ip-4.15,P,Ihed-4.3-Ip-4.15,O,236.1415405,61.2145462,9.233380318,80.59999847,91.19999695,9.40000153
313,313R,2,Inter,Ihed-4.3,H,Ihed-4.3-Ip-4.15,O,299.1411133,51.13315582,8.029026031,124,89,1
316,316L,2,Inter,Ihed-4.1,H,Ihed-4.1-Ip-4.17,O,317.0800476,72.18015289,6.26755619,60.79999924,78.90000153,20.14999962
316,316R,2,Inter,Ip-4.17,P,Ihed-4.1-Ip-4.17,O,224.5961304,45.51895905,5.726825714,92.40000153,88.30000305,1.69999695
319,319L,2,Inter,Ihed-4.1,H,Ihed-4.1-Ip-4.15,O,217.256134,53.44320679,5.907069206,59,75.19999695,22.90000153
319,319R,2,Inter,Ip-4.15,P,Ihed-4.1-Ip-4.15,O,481.675415,99.06163788,9.823267937,27.39999962,76.59999847,38.00000096
31,31L,1,Inter,Ihed-4.15,H,Ihed-4.15-Ip-4.15,O,613.4177246,107.0615997,10.2492981,43.5,85.09999847,25.70000077
